Day of the week,Day type,Time,Test target,Expected value
Saturday,Normal day,13-16 o'clock,Action,Playing tennis
Saturday,Normal day,16-19 o'clock,State,Hungry
Saturday,Normal day,16-19 o'clock,State,Not tired
Saturday,Normal day,16-19 o'clock,State,Not sleepy
Saturday,Normal day,19-20 o'clock,State,Not hungry
Saturday,Normal day,19-20 o'clock,State,Not tired
Saturday,Normal day,19-20 o'clock,State,Not sleepy
Saturday,Normal day,19-20 o'clock,State,Happy
Saturday,Normal day,19-20 o'clock,Action,Having dinner
Saturday,Normal day,20-24 o'clock,State,Not hungry
Saturday,Normal day,20-24 o'clock,State,Not tired
Saturday,Normal day,20-24 o'clock,State,Sleepy
Saturday,Normal day,20-24 o'clock,Action,Reading a book
